;year;selling_price;km_driven;seats;mileage;max_power;torque_nm;torque_rpm;engine;fuel_Diesel;fuel_LPG;fuel_Petrol;seller_type_Individual;seller_type_Trustmark Dealer;transmission_Manual;owner_Fourth & Above Owner;owner_Second Owner;owner_Test Drive Car;owner_Third Owner;brand_mte
28;2009;12.301387370778713;11.695255355062795;5.0;18.9;67.0;84.0;3500.0;1061;0;0;1;1;0;1;0;0;0;0;12.618749241372653
29;2018;12.449018824140563;10.12667110305036;8.0;16.8;34.2;59.0;2500.0;796;0;0;1;1;0;1;0;0;0;0;12.742154012432739
30;2017;13.415034483903348;11.156264806643742;5.0;24.3;88.5;200.0;1750.0;1248;1;0;0;1;0;1;0;0;0;0;12.620105579897865
31;2003;11.156264806643742;10.819798284210286;4.0;16.1;37.0;59.0;2500.0;796;0;0;1;1;0;1;0;1;0;0;12.532404357542518
32;2012;11.918397239722838;10.463131911491967;5.0;14.0;35.0;59.78;3000.0;796;0;0;1;1;0;1;0;1;0;0;12.709006871559696
33;2018;13.500801182986649;7.77863014732581;5.0;18.6;81.83;114.7;4000.0;1197;0;0;1;1;0;1;0;0;0;0;12.789459330606245
34;2017;13.384729180332174;9.692828247710418;5.0;24.3;88.5;200.0;1750.0;1248;1;0;0;1;0;1;0;0;0;0;12.56150669534643
35;2019;12.706850963741102;9.210440366976517;4.0;33.44;40.3;60.0;3500.0;796;0;0;0;1;0;1;0;1;0;0;12.679910692445402
36;2019;12.810391344620207;9.61587214452889;5.0;23.95;67.1;90.0;3500.0;998;0;0;1;1;0;1;0;0;0;0;12.729573125372395
37;2019;13.954403427152533;8.517393171418904;5.0;17.0;121.3;151.0;4850.0;1591;0;0;1;1;0;1;0;0;0;0;12.757366225695222
38;2016;11.918397239722838;10.645448706505872;5.0;20.63;67.0;104.0;4000.0;1198;0;0;1;1;0;1;0;0;0;0;12.69645530434689
39;2011;12.959846800844963;11.002116507732017;7.0;13.93;138.03;320.0;2200.0;2179;1;0;0;1;0;1;0;1;0;0;12.560114764079804
40;2012;11.918397239722838;11.23850177707664;4.0;16.1;37.0;59.0;2500.0;796;0;0;1;1;0;1;0;0;0;0;12.754203683241528
41;2019;14.557448378884015;8.517393171418904;5.0;16.0;160.77;250.0;2125.0;1368;0;0;1;1;0;0;0;0;0;0;14.45582533995498
42;2018;13.73755009757506;10.27163147557801;5.0;17.8;117.3;145.0;4600.0;1497;0;0;1;0;0;1;0;0;0;0;13.137463876286297
43;2013;12.959846800844963;11.3655964644899;5.0;16.8;116.3;146.0;4800.0;1497;0;0;1;0;0;1;0;0;0;0;13.20561570361754
44;2018;13.42246945133505;10.056251557087757;5.0;18.5;83.14;115.0;4000.0;1197;0;0;1;0;0;0;0;0;0;0;12.724004867737088
45;2018;13.617059619240436;10.392098241730961;5.0;24.3;88.5;200.0;1750.0;1248;1;0;0;0;0;1;0;0;0;0;12.607105130813745
46;2018;12.873904582205107;9.239996256883693;5.0;23.95;67.05;90.0;3500.0;998;0;0;1;0;0;1;0;0;0;0;12.618507486056563
47;2014;14.220976332738882;11.251573687764477;7.0;12.55;168.5;343.0;2400.0;2982;1;0;0;0;0;1;0;0;0;0;13.425635205620782
48;2013;13.45883704259595;11.502885230075814;7.0;12.99;100.0;200.0;2400.0;2494;1;0;0;0;0;1;0;0;0;0;13.464068290834646
49;2014;14.187074804051692;10.2328272702548;5.0;14.8;120.7;200.0;2625.0;2143;1;0;0;0;0;0;0;1;0;0;14.36437479634507
50;2015;12.959846800844963;10.815790343132422;5.0;24.7;98.63;200.0;1750.0;1498;1;0;0;0;0;1;0;0;0;0;13.094009807955423
51;2013;13.901689171636098;11.92504173829169;7.0;13.5;175.56;400.0;2250.0;2477;1;0;0;0;0;1;0;0;0;0;12.92813503671564
52;2015;13.304686600863562;10.909637269778615;5.0;26.0;98.6;200.0;1750.0;1498;1;0;0;0;0;1;0;0;0;0;13.112120132854201
53;2018;13.652992804936396;11.06665398721974;5.0;20.65;103.25;138.0;4400.0;1462;0;0;1;0;0;1;0;0;0;0;12.608857777335052
54;2015;13.171155446333852;11.050905878263567;5.0;27.3;98.6;200.0;1750.0;1498;1;0;0;0;0;1;0;0;0;0;13.11833367414799
55;2016;14.316286451937186;11.757446872843532;7.0;11.36;171.5;360.0;2300.0;2755;1;0;0;0;0;0;0;1;0;0;13.416133762862678
56;2016;13.76421831620775;11.502885230075814;7.0;12.99;100.6;200.0;2400.0;2494;1;0;0;0;0;1;0;0;0;0;13.448189659345951
57;2013;14.375126917328105;10.431199791458543;5.0;17.68;174.33;380.0;2125.0;1968;1;0;0;0;0;0;0;1;0;0;14.667628851460861
58;2018;14.279245203127035;10.12667110305036;5.0;14.28;138.03;173.0;4000.0;1798;0;0;1;0;0;0;0;0;0;0;13.479508930605606
59;2013;14.340239086899256;10.819798284210286;5.0;18.53;187.74;400.0;2375.0;1968;1;0;0;0;0;0;0;0;0;0;14.56924442078858
60;2013;14.169683073439028;10.985309671896763;5.0;14.84;170.0;400.0;2100.0;2143;1;0;0;0;0;0;0;0;0;0;14.352035835606666
61;2011;12.487488878546145;11.695255355062795;5.0;21.12;88.8;200.0;2375.0;1248;1;0;0;1;0;1;0;0;0;0;12.432412281709027
62;2011;12.154784614286667;11.608244735642321;5.0;20.36;78.9;111.7;4000.0;1197;0;0;1;1;0;1;0;0;0;1;12.791176048170339
63;2013;12.959846800844963;11.002116507732017;5.0;21.27;88.76;219.6;2125.0;1396;1;0;0;1;0;1;0;0;0;0;12.958025635486738
64;2015;13.353476685668044;11.898194668458823;5.0;26.59;74.0;190.0;2000.0;1248;1;0;0;1;0;1;0;1;0;0;12.636151006542637
65;2017;13.304686600863562;10.12667110305036;5.0;18.16;86.8;112.0;4000.0;1196;0;0;1;1;0;1;0;0;0;1;12.902647992582114
66;2019;13.384729180332174;10.308985993422082;5.0;21.4;83.1;115.0;4000.0;1197;0;0;1;1;0;1;0;0;0;0;12.545794464516273
67;2016;13.199326270390594;10.596659732783579;5.0;22.0;108.495;250.0;2250.0;1498;1;0;0;1;0;1;0;0;0;0;13.108131473863262
68;2015;13.353476685668044;11.813037464800539;5.0;25.1;98.6;200.0;1750.0;1498;1;0;0;1;0;1;0;0;0;0;13.226021516444446
69;2018;13.012550743537489;10.308985993422082;5.0;20.51;67.0;90.0;3500.0;998;0;0;1;1;0;0;0;0;0;0;12.540652362620865
70;2017;13.122365377402328;11.289794413577894;5.0;21.66;108.62;250.0;2250.0;1498;1;0;0;1;0;1;0;0;0;0;12.906939282344435
71;2016;13.521140839642674;11.156264806643742;5.0;24.3;88.5;200.0;1750.0;1248;1;0;0;1;0;1;0;0;0;0;12.69858597741839
72;2019;13.840204146163925;9.19532825185568;5.0;24.3;88.5;200.0;1750.0;1248;1;0;0;1;0;0;0;0;0;0;12.623095174868006
73;2011;12.367345048436391;11.002116507732017;5.0;20.36;78.9;111.7;4000.0;1197;0;0;1;1;0;1;0;1;0;0;12.807368428267054
74;2016;13.353476685668044;11.156264806643742;5.0;25.2;74.0;190.0;2000.0;1248;1;0;0;1;0;1;0;0;0;0;12.675317470224039
75;2015;14.346139397261565;11.264476926102367;7.0;12.55;168.5;343.0;2400.0;2982;1;0;0;1;0;1;0;1;0;0;13.587976942906755
76;2013;13.017005083966255;11.695255355062795;5.0;22.9;74.0;190.0;2000.0;1248;1;0;0;1;0;1;0;1;0;0;12.691932412099083
77;2012;13.017005083966255;11.695255355062795;7.0;16.02;93.7;130.0;4000.0;1373;0;0;1;1;0;1;0;1;0;0;12.690454808370939
78;2003;10.819798284210286;11.156264806643742;5.0;18.9;67.1;90.0;3500.0;998;1;0;0;1;0;1;0;0;0;0;12.424369116632542
79;2013;13.017005083966255;12.04355959836804;5.0;20.54;103.6;250.0;2000.0;1598;1;0;0;1;0;1;0;0;0;0;12.968514408969574
80;2016;13.997832948091215;11.849404844423074;8.0;12.99;100.6;200.0;2400.0;2494;1;0;0;1;0;1;0;0;0;0;13.432163257568366
81;2015;13.321215875492413;11.407576060361786;5.0;22.77;98.59;205.0;2500.0;1498;1;0;0;1;0;1;0;0;0;0;12.91321068863564
82;2016;14.731801689838349;10.308985993422082;5.0;15.71;189.0;280.0;2975.0;1998;0;0;1;1;0;0;0;1;0;0;14.691421629318144
83;2017;13.091904169919621;9.210440366976517;5.0;23.1;67.04;90.0;3500.0;998;0;0;1;0;0;1;0;0;0;0;12.558637824409276
84;2016;12.524530013005734;10.799595985047786;5.0;19.02;67.05;104.0;4000.0;1198;0;0;1;0;0;1;0;0;0;0;12.676826581576627
85;2016;12.660331092405906;10.373522431293592;5.0;24.7;47.3;69.0;3500.0;796;0;0;1;0;0;1;0;0;0;0;12.765786784540808
86;2016;12.524530013005734;10.545367754151743;5.0;24.7;47.3;69.0;3500.0;796;0;0;1;0;0;1;0;0;0;0;12.520626107347919
87;2015;13.07107218827772;11.264476926102367;6.0;12.55;140.0;195.0;1800.0;1248;1;0;0;0;0;1;0;0;0;0;12.705184006487672
88;2012;12.577639650232573;10.239995502805316;5.0;19.81;68.05;99.04;4500.0;1086;0;0;1;0;0;1;0;0;0;0;12.822208170232152
89;2017;12.54254845357358;10.373522431293592;5.0;14.0;35.0;59.78;3000.0;796;0;0;1;0;0;1;0;0;0;0;12.748122238895665
90;2010;12.323860125621126;10.691967639914864;5.0;26.2;58.2;77.0;3500.0;998;0;1;0;0;0;1;0;0;0;0;12.547803728006144
91;2015;13.02805489573287;10.645448706505872;5.0;16.47;74.0;110.0;3750.0;1198;0;0;1;0;0;1;0;0;0;0;13.053133891155746
92;2015;12.768544351446794;10.714439990727769;5.0;19.81;68.05;99.04;4500.0;1086;0;0;1;0;0;1;0;1;0;0;12.834730569642785
93;2012;13.190023895035274;9.392745258631441;5.0;15.04;103.6;153.0;3800.0;1598;0;0;1;0;0;1;0;1;0;0;13.136435768010765
94;2009;12.07254696717504;10.92415631759022;5.0;18.2;67.1;90.0;3500.0;998;0;0;1;0;0;1;0;0;0;0;12.725479926987875
95;2013;13.171155446333852;11.026808713825016;5.0;18.5;82.85;113.7;4000.0;1197;0;0;1;0;0;1;0;0;0;0;12.74594911583288
96;2016;13.304686600863562;11.918397239722838;5.0;26.59;74.0;190.0;2000.0;1248;1;0;0;1;0;1;0;0;0;0;12.769062288879494
97;2016;13.244582780038517;11.184435286790631;5.0;19.1;82.0;114.0;4000.0;1197;0;0;1;0;0;0;0;0;0;0;12.840882992506852
98;2008;11.695255355062795;11.127277689932466;5.0;19.7;46.3;62.0;3000.0;796;0;0;1;0;0;1;0;0;0;1;12.654460029056185
99;2017;13.493928313146206;11.608244735642321;5.0;22.54;88.73;219.7;2125.0;1396;1;0;0;1;0;1;0;0;0;0;12.784735878743534
100;2009;12.128116509451258;11.251573687764477;5.0;21.79;67.05;90.0;3500.0;998;0;0;1;0;0;1;0;1;0;0;12.694536900384394
101;2010;12.206077645517674;11.51293546492023;5.0;18.8;90.0;200.0;2375.0;1248;1;0;0;1;0;1;0;1;0;0;12.519020753853349
102;2019;13.329379172803593;9.210440366976517;5.0;21.21;81.8;113.0;4200.0;1197;0;0;1;1;0;1;0;0;0;0;12.688882617929638
103;2016;12.506180941677357;11.51293546492023;7.0;15.37;73.0;101.0;3000.0;1196;0;0;1;1;0;1;0;0;0;1;12.7562855672637
104;2018;13.321215875492413;10.463131911491967;5.0;21.4;83.1;115.0;4000.0;1197;0;0;1;1;0;1;0;0;0;0;12.69476044302701
105;2014;13.345508528717259;11.156264806643742;8.0;11.79;120.0;290.0;2300.0;2179;1;0;0;1;0;0;0;1;0;0;13.293458204849825
106;2020;12.899222326086994;8.517393171418904;5.0;19.0;94.68;120.0;4250.0;1194;0;0;1;1;0;1;0;1;0;0;12.872184998976088
107;2017;13.671641342278317;10.540090836284206;5.0;17.0;121.3;151.0;4850.0;1591;0;0;1;1;0;1;0;0;0;0;12.84138229319163
108;2010;13.45883704259595;11.643962499267984;5.0;14.3;160.0;250.0;1500.0;1798;0;0;1;1;0;1;0;0;0;0;12.923742487534318
109;2010;12.611541086966115;10.778977123006351;5.0;15.8;65.0;96.0;3000.0;1172;0;0;1;1;0;1;0;0;0;0;12.547366148656804
110;2019;14.346139397261565;10.373522431293592;7.0;15.1;155.0;360.0;2275.0;2179;1;0;0;1;0;1;0;0;0;0;13.156459976510048
111;2016;12.834683971615659;11.51293546492023;5.0;19.09;69.01;135.0;2500.0;1405;1;0;0;1;0;1;0;0;0;0;12.434756415881187
112;2013;13.165424782571753;11.918397239722838;5.0;22.32;126.32;259.8;2325.0;1582;1;0;0;1;0;1;0;1;0;0;12.87594428887827
113;2013;13.021437458814368;11.141876276228;5.0;21.9;88.76;219.6;2125.0;1396;1;0;0;1;0;1;0;0;0;0;12.875948212075093
114;2009;12.611541086966115;11.51293546492023;5.0;14.53;138.1;173.0;4000.0;1798;0;0;1;1;0;1;0;1;0;0;13.50865914998819
115;2020;13.07107218827772;9.472781556562168;5.0;21.63;67.04;90.0;3500.0;998;0;0;1;1;0;1;0;0;0;0;12.557183231084785
116;2016;13.567050480716235;11.002116507732017;5.0;24.3;88.5;200.0;1750.0;1248;1;0;0;1;0;1;0;0;0;0;12.535952822821253
117;2017;13.296318365198623;10.596659732783579;5.0;20.85;83.14;115.0;4000.0;1197;0;0;1;1;0;1;0;0;0;0;12.596012030031948
118;2017;12.994532278619134;10.463131911491967;5.0;20.51;67.04;90.0;3500.0;998;0;0;1;1;0;1;0;0;0;0;12.62646292716677
119;2010;12.611541086966115;11.695255355062795;5.0;19.7;150.0;113.0;4500.0;1248;1;0;0;1;0;1;0;1;0;0;12.617731233785902
120;2014;12.899222326086994;11.156264806643742;5.0;20.45;83.8;200.0;1900.0;1461;1;0;0;1;0;1;0;0;0;1;12.922064483095413
121;2016;13.946539697563276;10.819798284210286;5.0;19.67;126.2;259.9;2325.0;1582;1;0;0;1;0;1;0;0;0;0;12.836365424598075
122;2017;13.652992804936396;11.240329029936488;5.0;23.0;98.96;205.0;2500.0;1498;1;0;0;1;0;1;0;0;0;0;12.974665816437588
123;2012;12.821260987319457;12.07254696717504;5.0;19.3;73.9;190.0;2000.0;1248;1;0;0;1;0;1;1;0;0;0;12.617416038528406
124;2018;12.765691290604371;10.12667110305036;5.0;23.01;67.0;91.0;4250.0;999;0;0;1;1;0;1;0;0;0;0;12.918709037758653
125;2015;12.793862088206213;10.596659732783579;5.0;23.1;67.04;90.0;3500.0;998;0;0;1;1;0;1;0;1;0;0;12.571049925363235
126;2008;11.561725152903833;11.082157933374816;5.0;19.7;46.3;62.0;3000.0;796;0;0;1;1;0;1;1;0;0;0;12.696433857336963
127;2013;13.345508528717259;11.407576060361786;7.0;20.77;88.76;200.0;1750.0;1248;1;0;0;1;0;1;0;1;0;0;12.64871871394497
128;2009;11.813037464800539;11.289794413577894;5.0;17.92;62.1;96.1;3000.0;1086;0;0;1;1;0;1;0;1;0;0;12.92992258652439
129;2015;13.45883704259595;11.608244735642321;7.0;20.77;88.76;200.0;1750.0;1248;1;0;0;1;0;1;0;1;0;0;12.605605446119963
130;2019;13.444448325847754;7.1731917424865985;5.0;17.8;86.7;109.0;4500.0;1198;0;0;1;0;0;1;0;0;0;0;13.053874294484237
131;2018;15.195535557642865;10.367253014814716;5.0;17.01;188.0;400.0;2375.0;1968;1;0;0;0;0;0;0;0;0;0;14.620094028596379
132;2019;15.454507466814658;9.90353755128617;5.0;22.37;214.56;202.0;4400.0;2487;0;0;1;0;0;0;0;0;0;0;12.864070954232801
133;2017;14.978661680269907;10.714439990727769;5.0;19.33;177.0;430.0;2125.0;1999;1;0;0;0;0;0;0;0;0;0;14.771758108930888
134;2017;15.226497775576945;9.741027444837728;5.0;9.5;280.0;347.0;4300.0;3604;0;0;1;1;0;0;0;0;0;0;14.30523795382055
135;2019;15.319588176962746;9.952325334619427;7.0;12.83;148.31;382.0;2000.0;1999;1;0;0;0;0;0;0;0;0;0;14.364845284422893
136;2017;15.607270193858982;10.518700218288165;5.0;13.5;254.79;620.0;2000.0;2987;1;0;0;0;0;0;0;0;0;0;14.291338500983004
137;2018;15.147876840910817;10.292179440058462;5.0;22.48;187.74;400.0;2125.0;1995;1;0;0;0;0;0;0;0;0;0;14.559589759371104
138;2017;14.580978865220017;10.203629181337648;5.0;18.9;126.2;113.75;4000.0;1197;1;0;0;0;0;0;0;0;0;0;14.588559029034558
139;2019;15.573368647930426;8.922791623969637;5.0;16.78;190.0;400.0;2125.0;1995;1;0;0;0;0;0;0;0;0;0;14.611746825727296
140;2018;14.438771611060053;10.819798284210286;5.0;14.67;177.46;250.0;3125.0;1798;0;0;1;0;0;0;0;0;0;0;12.940422300689232
141;2016;14.80876270134486;10.463131911491967;5.0;15.0;204.0;500.0;1700.0;2143;1;0;0;0;0;0;0;0;0;0;14.501957451694995
142;2019;14.375126917328105;9.852246888342531;5.0;13.96;141.0;250.0;2600.0;1451;0;0;1;0;0;0;0;0;0;0;14.410420820776723
143;2017;13.586098651497313;10.62135173563291;5.0;18.0;117.6;145.0;4600.0;1497;0;0;1;0;0;0;0;0;0;0;13.216971240295598
144;2013;13.345508528717259;10.571342565808699;5.0;14.28;138.03;173.0;4000.0;1798;0;0;1;0;0;0;0;0;0;0;13.358958181537364
145;2018;15.039286283703994;9.99884318585288;5.0;18.0;190.0;400.0;3480.0;1969;1;0;0;0;0;0;0;0;0;0;14.928419189518415
146;2015;14.790070575320824;10.87806606028079;7.0;12.07;241.4;550.0;2250.0;2967;1;0;0;0;0;0;0;0;0;0;14.607107533023811
147;2015;13.190023895035274;10.596659732783579;5.0;26.21;88.5;200.0;1750.0;1248;1;0;0;0;0;1;0;0;0;0;12.559074967539518
148;2017;15.581952390148196;10.757924157061597;5.0;13.5;282.0;490.0;1600.0;2987;1;0;0;0;0;0;0;0;0;0;14.320571580455113
149;2010;13.790193775620484;11.187209175200515;5.0;10.8;150.0;250.0;2750.0;2497;0;0;1;0;0;0;0;1;0;0;14.687072933901776
150;2016;13.598598798635953;10.817796321618971;5.0;16.3;147.5;177.5;4700.0;1797;0;0;1;0;0;1;0;0;0;0;12.814902223503724
151;2017;14.78059183496017;9.105090961257085;5.0;13.6;177.0;430.0;2125.0;1999;1;0;0;0;0;0;0;0;0;0;14.831606129503587
152;2018;13.606024566142413;9.305741456739435;5.0;17.0;108.5;170.0;2875.0;1198;0;0;1;0;0;1;0;0;0;0;12.587571721120302
153;2011;12.834683971615659;10.799595985047786;5.0;15.04;103.6;153.0;3800.0;1598;0;0;1;1;0;1;0;0;0;0;13.035053201196215
154;2012;13.217675375388819;11.461642696843066;5.0;16.3;147.5;177.5;4700.0;1797;0;0;1;1;0;1;0;0;0;0;12.938905659785572
155;2016;13.377007146164305;9.305741456739435;5.0;14.3;103.5;153.0;3800.0;1598;0;0;1;0;0;0;0;0;0;0;12.92692898841794
156;2018;14.751604309291395;9.798182590890704;5.0;15.04;183.0;300.0;2600.0;1991;0;0;1;0;0;0;0;0;0;0;14.380299268872838
157;2014;13.303018546545275;10.738589920723442;7.0;16.02;93.7;130.0;4000.0;1373;0;0;1;0;0;1;0;0;0;0;12.648037279679134
158;2017;14.80876270134486;9.680406499268875;5.0;14.74;181.04;300.0;1300.0;1991;0;0;1;0;0;0;0;0;0;0;14.484463352921548
159;2017;13.681980308196241;9.798182590890704;5.0;15.6;116.3;146.0;4800.0;1497;0;0;1;0;0;0;0;0;0;0;13.23465990546926
160;2019;13.704578997256993;9.175231194862615;5.0;19.56;81.8;113.0;4200.0;1197;0;0;1;0;0;0;0;0;0;0;13.476339931600615
161;2011;12.07254696717504;9.305741456739435;5.0;23.95;67.05;90.0;3500.0;998;0;0;1;0;0;1;0;0;0;0;12.64570927605105
162;2012;12.73670383776449;10.098272780745283;5.0;21.21;81.8;113.0;4200.0;1197;0;0;1;0;0;1;0;0;0;0;12.727077925056482
163;2016;14.23750562376114;10.64932205537508;7.0;11.36;171.5;360.0;2300.0;2755;1;0;0;0;0;0;0;1;0;0;13.578988691917035
164;2018;13.840204146163925;8.987321812850125;5.0;21.5;108.5;260.0;2125.0;1497;1;0;0;0;0;0;0;0;0;0;12.370940502774106
165;2016;14.580978865220017;10.308985993422082;5.0;22.69;190.0;400.0;2125.0;1995;1;0;0;0;0;0;0;0;0;0;14.650448023104818
166;2016;14.45736497045232;10.62135173563291;5.0;19.16;157.7;213.0;4500.0;2494;0;0;1;0;0;0;0;0;0;0;13.475954798157979
167;2016;14.88022163978423;9.392745258631441;5.0;18.12;190.0;400.0;2125.0;1995;1;0;0;0;0;0;0;0;0;0;14.626502762758838
168;2009;13.017005083966255;11.170449240431308;5.0;12.1;164.7;224.0;4000.0;2362;0;0;1;0;0;0;0;0;0;0;13.495833283981783
169;2016;13.652992804936396;9.90353755128617;7.0;17.5;91.1;130.0;4000.0;1373;0;0;1;1;0;1;0;0;0;0;12.638243840814859
170;2017;16.118095750958314;10.308985993422082;4.0;42.0;400.0;640.0;1740.0;1969;0;0;1;1;0;0;0;0;0;0;15.040193676753063
171;2011;12.611541086966115;11.51293546492023;5.0;20.54;103.6;250.0;2000.0;1598;1;0;0;1;0;1;0;1;0;0;12.937632867346592
172;2018;13.26212705890841;9.15915233520675;5.0;18.16;86.8;112.0;4000.0;1196;0;0;1;1;0;1;0;0;0;0;12.950545019365864
173;2011;11.982935344196433;11.695255355062795;5.0;20.0;68.0;160.0;2000.0;1399;1;0;0;1;0;1;0;0;0;0;12.841315702551082
174;2015;13.151924121391561;10.50783084142058;5.0;20.4;81.8;113.0;4200.0;1197;0;0;1;1;0;1;0;0;0;0;12.553996467164954
175;2015;12.873904582205107;10.819798284210286;5.0;20.51;67.0;90.0;3500.0;998;0;0;1;1;0;0;0;1;0;0;12.644753785173878
176;2016;13.217675375388819;9.546884034617925;5.0;18.6;81.83;114.7;4000.0;1197;0;0;1;1;0;1;0;1;0;0;12.947243710466314
177;1999;10.596659732783579;10.596659732783579;4.0;16.1;37.0;59.0;2500.0;796;0;0;1;1;0;1;0;1;0;0;12.725582309080552
178;2010;12.301387370778713;11.695255355062795;5.0;21.1;73.9;113.0;4500.0;1248;1;0;0;1;0;1;0;0;0;0;12.579478369545136
179;2015;12.959846800844963;11.156264806643742;5.0;18.9;82.0;114.0;4000.0;1197;0;0;1;1;0;1;0;0;0;0;12.7769273909685
180;2019;13.081543466215237;9.472781556562168;5.0;19.44;75.0;95.0;3650.0;999;0;0;1;1;0;1;0;0;0;0;12.911954703125936
181;2014;12.899222326086994;11.002116507732017;5.0;18.9;82.0;114.0;4000.0;1197;0;0;1;1;0;1;0;1;0;0;12.887390834971958
182;2014;13.096021455450709;10.463131911491967;5.0;19.1;85.8;114.0;4000.0;1197;0;0;1;1;0;1;0;0;0;0;12.746511314640648
183;2016;12.863595239117187;10.691967639914864;5.0;19.1;82.0;114.0;4000.0;1197;0;0;1;1;0;1;0;1;0;0;12.921397451318372
184;2005;11.51293546492023;11.695255355062795;5.0;13.0;100.0;128.38;4600.0;1493;0;0;1;1;0;1;0;1;0;0;13.193676441728824
185;2010;12.611541086966115;11.002116507732017;5.0;21.43;87.2;205.0;2300.0;1364;1;0;0;1;0;1;0;0;0;0;13.410666939881152
186;2000;11.51293546492023;11.002116507732017;5.0;18.5;53.0;71.0;3500.0;796;0;0;1;1;0;1;0;0;0;0;11.034886730496385
187;2014;14.375126917328105;10.308985993422082;7.0;13.0;168.5;343.0;2400.0;2982;1;0;0;1;0;1;0;1;0;0;13.492251715994344
