Id;MSSubClass;OverallQual;OverallCond;MasVnrArea;BsmtFinSF1;BsmtFinSF2;BsmtUnfSF;TotalBsmtSF;2ndFlrSF;LowQualFinSF;GrLivArea;BsmtFullBath;BsmtHalfBath;FullBath;HalfBath;BedroomAbvGr;GarageCars;WoodDeckSF;OpenPorchSF;EnclosedPorch;3SsnPorch;ScreenPorch;PoolArea;MiscVal;AgeConstruction;AgeLastRenovation;Neighborhood;Condition1;Condition2;HouseStyle;RoofStyle;RoofMatl;Exterior1st;Exterior2nd;Foundation;BsmtFinType1;BsmtFinType2;Heating;Functional;GarageType;SaleType;SaleCondition;SalePrice;MSZoning_FV;MSZoning_RH;MSZoning_RL;MSZoning_RM;Street_Pave;LotShape_IR2;LotShape_IR3;LotShape_Reg;LandContour_HLS;LandContour_Low;LandContour_Lvl;LotConfig_CulDSac;LotConfig_FR2;LotConfig_FR3;LotConfig_Inside;LandSlope_Mod;LandSlope_Sev;BldgType_2fmCon;BldgType_Duplex;BldgType_Twnhs;BldgType_TwnhsE;ExterQual_Fa;ExterQual_Gd;ExterQual_TA;ExterCond_Fa;ExterCond_Gd;ExterCond_Po;ExterCond_TA;BsmtQual_Fa;BsmtQual_Gd;BsmtQual_TA;BsmtCond_Gd;BsmtCond_Po;BsmtCond_TA;BsmtExposure_Gd;BsmtExposure_Mn;BsmtExposure_No;HeatingQC_Fa;HeatingQC_Gd;HeatingQC_Po;HeatingQC_TA;CentralAir_Y;Electrical_FuseF;Electrical_FuseP;Electrical_Mix;Electrical_SBrkr;KitchenQual_Fa;KitchenQual_Gd;KitchenQual_TA;GarageFinish_RFn;GarageFinish_Unf;GarageQual_Fa;GarageQual_Gd;GarageQual_Po;GarageQual_TA;GarageCond_Fa;GarageCond_Gd;GarageCond_Po;GarageCond_TA;PavedDrive_P;PavedDrive_Y
11;20;5;5;0.0;906.0;0.0;134.0;1040.0;0;0;1040;1.0;0.0;1;0;3;1.0;0;0;0;0;0;0;0;43;43;136793.13513513515;184495.49206349207;181169.40553633217;175985.4779614325;218876.93356643355;179803.6792189679;163077.45045045044;167661.5652173913;149805.714511041;146889.24812030076;182511.3508500773;182021.19537815126;183429.14705882352;134091.16279069768;173401.8366219416;175202.21953255427;129500.0;0;0;1;0;1;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;1;0;1;0;0;0;1;0;0;0;1;0;1
12;60;9;5;286.0;998.0;0.0;177.0;1175.0;1142;0;2324;1.0;0.0;3;0;4;3.0;147;21;0;0;0;0;0;1;0;316270.6233766234;184495.49206349207;181169.40553633217;210051.76404494382;218876.93356643355;179803.6792189679;150655.07692307694;161328.94736842104;225230.44204018547;235413.72009569377;182511.3508500773;182021.19537815126;183429.14705882352;254751.73863636365;274945.41803278687;272291.752;345000.0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1
13;20;5;6;0.0;737.0;0.0;175.0;912.0;0;0;912;1.0;0.0;1;0;2;1.0;140;0;0;0;176;0;0;46;46;136793.13513513515;184495.49206349207;181169.40553633217;175985.4779614325;218876.93356643355;179803.6792189679;163077.45045045044;168112.38732394367;149805.714511041;161573.06818181818;182511.3508500773;182021.19537815126;183429.14705882352;134091.16279069768;173401.8366219416;175202.21953255427;144000.0;0;0;1;0;1;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;1;1;0;0;0;1;0;0;1;0;1;0;0;0;1;0;0;0;1;0;1
14;20;7;5;306.0;0.0;0.0;1494.0;1494.0;0;0;1494;0.0;0.0;2;0;3;3.0;160;33;0;0;0;0;0;1;0;197965.77333333335;184495.49206349207;181169.40553633217;175985.4779614325;171483.95617879054;179803.6792189679;213732.90097087377;214432.46031746033;225230.44204018547;165519.28265524626;182511.3508500773;182021.19537815126;183429.14705882352;194411.47318611987;274945.41803278687;272291.752;279500.0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;1;0;0;0;0;1;0;0;0;1;0;1
15;20;6;5;212.0;733.0;0.0;520.0;1253.0;0;0;1253;1.0;0.0;1;1;2;1.0;0;213;176;0;0;0;0;48;48;145847.08;184495.49206349207;181169.40553633217;175985.4779614325;218876.93356643355;179803.6792189679;149422.17727272728;149803.17289719626;149805.714511041;149493.6554054054;182511.3508500773;182021.19537815126;183429.14705882352;194411.47318611987;173401.8366219416;175202.21953255427;157000.0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;1;1;0;0;0;1;0;0;1;1;0;0;0;0;1;0;0;0;1;0;1
16;45;7;8;0.0;0.0;0.0;832.0;832.0;0;0;854;0.0;0.0;1;0;2;2.0;48;112;0;0;0;0;0;78;6;124834.05172413793;184495.49206349207;181169.40553633217;110150.0;171483.95617879054;179803.6792189679;149841.64563106795;148386.0659898477;132291.07534246575;165519.28265524626;182511.3508500773;182021.19537815126;183429.14705882352;134091.16279069768;173401.8366219416;175202.21953255427;132000.0;0;0;0;1;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;1;0;1
17;20;6;7;180.0;578.0;0.0;426.0;1004.0;0;0;1004;1.0;0.0;1;0;2;2.0;0;0;0;0;0;0;700;40;40;145847.08;184495.49206349207;181169.40553633217;175985.4779614325;171483.95617879054;179803.6792189679;149841.64563106795;148386.0659898477;149805.714511041;161573.06818181818;182511.3508500773;182021.19537815126;183429.14705882352;194411.47318611987;173401.8366219416;175202.21953255427;149000.0;0;0;1;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;1
18;90;4;5;0.0;0.0;0.0;0.0;0.0;0;0;1296;0.0;0.0;2;0;2;2.0;0;0;0;0;0;0;500;39;39;136793.13513513515;184495.49206349207;181169.40553633217;175985.4779614325;171483.95617879054;179803.6792189679;149422.17727272728;149803.17289719626;107365.625;165519.28265524626;182511.3508500773;182021.19537815126;183429.14705882352;109962.11111111111;173401.8366219416;175202.21953255427;90000.0;0;0;1;0;1;0;0;1;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;1;1;0;0;0;1;0;0;1;0;1;0;0;0;1;0;0;0;1;0;1
19;20;5;5;0.0;646.0;0.0;468.0;1114.0;0;0;1114;1.0;0.0;1;1;3;2.0;0;102;0;0;0;0;0;4;4;186555.7966101695;138400.0;181169.40553633217;175985.4779614325;171483.95617879054;179803.6792189679;213732.90097087377;214432.46031746033;225230.44204018547;235413.72009569377;182511.3508500773;182021.19537815126;183429.14705882352;134091.16279069768;173401.8366219416;175202.21953255427;159000.0;0;0;1;0;1;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;1;0;0;1;0;0;0;1;0;0;0;1;0;1
20;20;5;6;0.0;504.0;0.0;525.0;1029.0;0;0;1339;0.0;0.0;1;0;3;1.0;0;0;0;0;0;0;0;51;44;145847.08;184495.49206349207;181169.40553633217;175985.4779614325;218876.93356643355;179803.6792189679;194573.0;168112.38732394367;149805.714511041;151852.7027027027;182511.3508500773;182021.19537815126;146385.48387096773;194411.47318611987;143973.2558139535;146526.62376237623;139000.0;0;0;1;0;1;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;1;1;0;0;0;1;0;0;1;0;1;0;0;0;1;0;0;0;1;0;1
21;60;8;5;380.0;0.0;0.0;1158.0;1158.0;1218;0;2376;0.0;0.0;3;1;4;3.0;240;154;0;0;0;0;0;1;0;316270.6233766234;184495.49206349207;181169.40553633217;210051.76404494382;171483.95617879054;179803.6792189679;213732.90097087377;214432.46031746033;225230.44204018547;165519.28265524626;182511.3508500773;182021.19537815126;183429.14705882352;254751.73863636365;274945.41803278687;272291.752;325300.0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;1;0;0;0;0;1;0;0;0;1;0;1
22;45;7;7;0.0;0.0;0.0;637.0;637.0;0;0;1108;0.0;0.0;1;0;3;1.0;0;0;205;0;0;0;0;77;57;100123.78378378379;184495.49206349207;181169.40553633217;110150.0;171483.95617879054;179803.6792189679;149841.64563106795;148386.0659898477;225230.44204018547;165519.28265524626;182511.3508500773;182021.19537815126;183429.14705882352;194411.47318611987;173401.8366219416;175202.21953255427;139400.0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;0;1;1;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;1;0;0
23;20;8;5;281.0;0.0;0.0;1777.0;1777.0;0;0;1795;0.0;0.0;2;0;3;2.0;171;159;0;0;0;0;0;6;6;197965.77333333335;184495.49206349207;181169.40553633217;175985.4779614325;218876.93356643355;179803.6792189679;213732.90097087377;214432.46031746033;225230.44204018547;165519.28265524626;182511.3508500773;182021.19537815126;183429.14705882352;194411.47318611987;173401.8366219416;175202.21953255427;230000.0;0;0;1;0;1;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;1;0;1;0;0;0;0;1;0;0;0;1;0;1
24;120;5;7;0.0;840.0;0.0;200.0;1040.0;0;0;1060;1.0;0.0;1;0;3;2.0;100;110;0;0;0;0;0;31;31;98576.4705882353;184495.49206349207;181169.40553633217;175985.4779614325;171483.95617879054;179803.6792189679;231690.65573770492;230093.83333333334;225230.44204018547;235413.72009569377;182511.3508500773;182021.19537815126;183429.14705882352;194411.47318611987;173401.8366219416;175202.21953255427;129900.0;0;0;0;1;1;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;1;0;1;0;0;0;1;0;0;1;0;0;0;1;1;0;0;0;1;0;0;1;0;1;0;0;0;1;0;0;0;1;0;1
25;20;5;8;0.0;188.0;668.0;204.0;1060.0;0;0;1060;1.0;0.0;1;0;3;1.0;406;90;0;0;0;0;0;42;9;136793.13513513515;184495.49206349207;181169.40553633217;175985.4779614325;171483.95617879054;179803.6792189679;175942.37962962964;168112.38732394367;149805.714511041;146889.24812030076;209942.1052631579;182021.19537815126;183429.14705882352;194411.47318611987;173401.8366219416;175202.21953255427;154000.0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;1;0;0;1;0;0;0;1;0;0;0;1;0;1
26;20;8;5;640.0;0.0;0.0;1566.0;1566.0;0;0;1600;0.0;0.0;2;0;3;3.0;0;56;0;0;0;0;0;2;2;316270.6233766234;184495.49206349207;181169.40553633217;175985.4779614325;171483.95617879054;179803.6792189679;213732.90097087377;214432.46031746033;225230.44204018547;165519.28265524626;182511.3508500773;182021.19537815126;183429.14705882352;194411.47318611987;173401.8366219416;175202.21953255427;256300.0;0;0;1;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;1;0;1;0;0;0;0;1;0;0;0;1;0;1
27;20;5;7;0.0;234.0;486.0;180.0;900.0;0;0;900;0.0;1.0;1;0;3;2.0;222;32;0;0;0;0;0;59;10;145847.08;184495.49206349207;181169.40553633217;175985.4779614325;171483.95617879054;179803.6792189679;149841.64563106795;148386.0659898477;149805.714511041;149493.6554054054;164917.12962962964;182021.19537815126;183429.14705882352;134091.16279069768;173401.8366219416;175202.21953255427;134800.0;0;0;1;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;1;0;1;0;0;0;0;1;1;0;0;0;1;0;1;0;0;1;0;0;0;1;0;0;0;1;0;1
28;20;8;5;200.0;1218.0;0.0;486.0;1704.0;0;0;1704;1.0;0.0;2;0;3;3.0;0;50;0;0;0;0;0;3;2;316270.6233766234;184495.49206349207;181169.40553633217;175985.4779614325;171483.95617879054;179803.6792189679;213732.90097087377;214432.46031746033;225230.44204018547;235413.72009569377;182511.3508500773;182021.19537815126;183429.14705882352;194411.47318611987;173401.8366219416;175202.21953255427;306000.0;0;0;1;0;1;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;1;0;1;0;0;0;0;1;0;0;0;1;0;1
29;20;5;6;0.0;1277.0;0.0;207.0;1484.0;0;0;1600;1.0;0.0;1;0;2;1.0;288;258;0;0;0;0;0;49;9;145847.08;184495.49206349207;181169.40553633217;175985.4779614325;171483.95617879054;179803.6792189679;149422.17727272728;149803.17289719626;149805.714511041;149493.6554054054;182511.3508500773;182021.19537815126;183429.14705882352;194411.47318611987;173401.8366219416;175202.21953255427;207500.0;0;0;1;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;1;1;0;0;0;0;0;1;1;0;0;0;1;0;0;1;1;0;0;0;0;1;0;0;0;1;0;1
30;30;4;6;0.0;0.0;0.0;520.0;520.0;0;0;520;0.0;0.0;1;0;1;1.0;49;0;87;0;0;0;0;81;58;124834.05172413793;142475.4814814815;96750.0;175985.4779614325;171483.95617879054;179803.6792189679;149422.17727272728;149803.17289719626;132291.07534246575;165519.28265524626;182511.3508500773;182021.19537815126;183429.14705882352;134091.16279069768;173401.8366219416;175202.21953255427;68500.0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;1;0;0;0;0;0;0;0;1;1;0;0;0;1;1;0;0;0;0;0;0;1;0;1
31;70;4;4;0.0;0.0;0.0;649.0;649.0;668;0;1317;0.0;0.0;1;0;3;1.0;0;54;172;0;0;0;0;88;58;100123.78378378379;142475.4814814815;181169.40553633217;210051.76404494382;148909.0909090909;179803.6792189679;194573.0;195818.0;132291.07534246575;165519.28265524626;182511.3508500773;182021.19537815126;183429.14705882352;134091.16279069768;173401.8366219416;175202.21953255427;40000.0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;1;0;0;0;0;1;0;0;1;0;1;0;0;0;1;1;0;0;0;0;0
32;20;5;6;0.0;0.0;0.0;1228.0;1228.0;0;0;1228;0.0;0.0;1;1;3;1.0;0;65;0;0;0;0;0;42;2;136793.13513513515;184495.49206349207;181169.40553633217;175985.4779614325;171483.95617879054;179803.6792189679;163077.45045045044;167661.5652173913;149805.714511041;165519.28265524626;182511.3508500773;182021.19537815126;183429.14705882352;194411.47318611987;173401.8366219416;175202.21953255427;149350.0;0;0;1;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;1;0;0;1;0;0;0;1;0;1;0;0;1;0;0;0;1;0;0;0;1;0;1
33;20;8;5;0.0;0.0;0.0;1234.0;1234.0;0;0;1234;0.0;0.0;2;0;3;2.0;0;30;0;0;0;0;0;1;1;197965.77333333335;184495.49206349207;181169.40553633217;175985.4779614325;171483.95617879054;179803.6792189679;213732.90097087377;214432.46031746033;225230.44204018547;165519.28265524626;182511.3508500773;182021.19537815126;183429.14705882352;194411.47318611987;173401.8366219416;175202.21953255427;179900.0;0;0;1;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;1;0;0;0;0;1;0;0;0;1;0;1
34;20;5;5;0.0;1018.0;0.0;380.0;1398.0;0;0;1700;0.0;1.0;1;1;4;2.0;0;38;0;0;0;0;0;51;51;145847.08;184495.49206349207;181169.40553633217;175985.4779614325;218876.93356643355;179803.6792189679;194573.0;195818.0;149805.714511041;146889.24812030076;182511.3508500773;182021.19537815126;183429.14705882352;194411.47318611987;173401.8366219416;175202.21953255427;165500.0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;1;0;0;1;0;0;0;1;0;1;0;1;0;0;0;0;1;0;0;0;1;0;1
35;120;9;5;246.0;1153.0;0.0;408.0;1561.0;0;0;1561;1.0;0.0;2;0;2;2.0;203;47;0;0;0;0;0;2;2;316270.6233766234;184495.49206349207;181169.40553633217;175985.4779614325;218876.93356643355;179803.6792189679;149422.17727272728;149803.17289719626;225230.44204018547;235413.72009569377;182511.3508500773;182021.19537815126;183429.14705882352;194411.47318611987;173401.8366219416;175202.21953255427;277500.0;0;0;1;0;1;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1
36;60;8;5;132.0;0.0;0.0;1117.0;1117.0;1320;0;2452;0.0;0.0;3;1;4;3.0;113;32;0;0;0;0;0;2;1;316270.6233766234;184495.49206349207;181169.40553633217;210051.76404494382;171483.95617879054;179803.6792189679;213732.90097087377;214432.46031746033;225230.44204018547;165519.28265524626;182511.3508500773;182021.19537815126;183429.14705882352;254751.73863636365;173401.8366219416;175202.21953255427;309000.0;0;0;1;0;1;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;1;0;1
37;20;5;5;0.0;0.0;0.0;1097.0;1097.0;0;0;1097;0.0;0.0;1;1;3;2.0;392;64;0;0;0;0;0;15;14;197965.77333333335;184495.49206349207;181169.40553633217;175985.4779614325;171483.95617879054;179803.6792189679;213732.90097087377;214432.46031746033;225230.44204018547;165519.28265524626;182511.3508500773;182021.19537815126;183429.14705882352;194411.47318611987;173401.8366219416;175202.21953255427;145000.0;0;0;1;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;1;0;1;0;0;0;1;0;0;0;1;0;1
