Id;MSSubClass;OverallQual;OverallCond;MasVnrArea;BsmtFinSF1;BsmtFinSF2;BsmtUnfSF;TotalBsmtSF;2ndFlrSF;LowQualFinSF;GrLivArea;BsmtFullBath;BsmtHalfBath;FullBath;HalfBath;BedroomAbvGr;GarageCars;WoodDeckSF;OpenPorchSF;EnclosedPorch;3SsnPorch;ScreenPorch;PoolArea;MiscVal;AgeConstruction;AgeLastRenovation;LotShape;LandSlope;ExterQual;ExterCond;BsmtQual;BsmtCond;BsmtExposure;BsmtFinType1;BsmtFinType2;HeatingQC;Electrical;KitchenQual;Functional;FireplaceQu;GarageFinish;GarageQual;GarageCond;PavedDrive;SalePrice;MSZoning_FV;MSZoning_RH;MSZoning_RL;MSZoning_RM;LandContour_HLS;LandContour_Low;LandContour_Lvl;LotConfig_CulDSac;LotConfig_FR2;LotConfig_FR3;LotConfig_Inside;Neighborhood_mean_encoded;Condition1_mean_encoded;Condition2_mean_encoded;BldgType_2fmCon;BldgType_Duplex;BldgType_Twnhs;BldgType_TwnhsE;HouseStyle_mean_encoded;RoofStyle_mean_encoded;RoofMatl_mean_encoded;Exterior1st_mean_encoded;Exterior2nd_mean_encoded;MasVnrType_BrkFace;MasVnrType_Stone;Foundation_mean_encoded;Heating_mean_encoded;CentralAir_Y;GarageType_mean_encoded;SaleType_mean_encoded;SaleCondition_mean_encoded
11;20;5;5;0.0;906.0;0.0;134.0;1040.0;0;0;1040;1.0;0.0;1;0;3;1.0;0;0;0;0;0;0;0;43;43;3;2;3;3;3;3;1;3;1;5;5.0;3;7.0;0;1;3;3;2;129500.0;0;0;1;0;0;0;1;0;0;0;1;137493.2657660183;184993.61479095055;182083.0986744529;0;0;0;0;176719.02310611794;215363.98601125777;181143.72312940573;163438.9962704015;168562.64637022573;1;0;151269.7046460738;182703.4384721009;1;132413.7670619725;172253.65893966384;175610.81733675947
12;60;9;5;286.0;998.0;0.0;177.0;1175.0;1142;0;2324;1.0;0.0;3;0;4;3.0;147;21;0;0;0;0;0;1;0;2;2;5;3;5;3;1;6;1;5;5.0;5;7.0;4;3;3;3;2;345000.0;0;0;1;0;0;0;1;0;0;0;1;311213.78346326784;183549.84724012436;182220.48912472045;0;0;0;0;211421.2114230632;220756.44092586698;179021.64372124974;149148.81720902617;161792.11642029075;0;1;227238.32455728194;181962.01747441702;1;259348.24917365378;275026.6823360049;269883.6609757384
13;20;5;6;0.0;737.0;0.0;175.0;912.0;0;0;912;1.0;0.0;1;0;2;1.0;140;0;0;0;176;0;0;46;46;1;2;3;3;3;3;1;5;1;3;5.0;3;7.0;0;1;3;3;2;144000.0;0;0;1;0;0;0;1;0;0;0;1;138044.4209043147;183775.0651744739;181999.4283547707;0;0;0;0;177249.75604975037;220723.64381007478;179777.74276493283;159282.54639012244;166490.85443573742;1;0;148210.0149044772;182066.86495474784;1;135250.7181219482;173906.78185784994;173422.98905816668
14;20;7;5;306.0;0.0;0.0;1494.0;1494.0;0;0;1494;0.0;0.0;2;0;3;3.0;160;33;0;0;0;0;0;1;0;2;2;4;3;4;3;3;1;1;5;5.0;4;7.0;4;2;3;3;2;279500.0;0;0;1;0;0;0;1;0;0;0;1;195962.2524755151;184197.4839554506;182877.05190622003;0;0;0;0;175671.53348182028;169354.81457028474;180325.9464162393;213976.7058061907;215522.71542195932;0;1;224399.8557370656;182354.51197869406;1;195038.226518025;275753.32702882803;273051.2475415921
15;20;6;5;212.0;733.0;0.0;520.0;1253.0;0;0;1253;1.0;0.0;1;1;2;1.0;0;213;176;0;0;0;0;48;48;2;2;3;3;3;3;1;4;1;3;5.0;3;7.0;2;2;3;3;2;157000.0;0;0;1;0;0;0;1;0;0;0;0;145346.85708016608;185164.65620502233;180749.82488604973;0;0;0;0;177336.39909421463;215186.4229351998;181081.0220656678;151613.58244464657;151731.797083253;1;0;150227.10383374395;180074.64064056534;1;192787.33607893306;174738.7385251322;177134.06833493756
16;45;7;8;0.0;0.0;0.0;832.0;832.0;0;0;854;0.0;0.0;1;0;2;2.0;48;112;0;0;0;0;0;78;6;3;2;3;3;3;3;1;1;1;5;4.0;3;7.0;0;1;3;3;2;132000.0;0;0;0;1;0;0;1;0;0;0;0;124057.74202072083;186641.71431630847;180899.9181403921;0;0;0;0;108076.71670197012;173735.57118070082;179581.49317105097;149312.8162711657;147202.0628702785;1;0;130305.31766140698;182857.2063381918;1;135046.3244203651;174799.05542731378;175159.4305682959
17;20;6;7;180.0;578.0;0.0;426.0;1004.0;0;0;1004;1.0;0.0;1;0;2;2.0;0;0;0;0;0;0;700;40;40;2;2;3;3;3;3;1;5;1;5;5.0;3;7.0;3;3;3;3;2;149000.0;0;0;1;0;0;0;1;1;0;0;0;148021.17634926448;183444.84196019633;181577.19198663917;0;0;0;0;176737.8660884831;170233.00051682428;180933.12978622288;148846.47933941105;147740.21192628096;1;0;148407.18737404488;181737.53076573063;1;193697.05790392816;174346.91622334174;176408.6778148764
18;90;4;5;0.0;0.0;0.0;0.0;0.0;0;0;1296;0.0;0.0;2;0;2;2.0;0;0;0;0;0;0;500;39;39;3;2;3;3;0;0;0;0;0;3;5.0;3;7.0;0;1;3;3;2;90000.0;0;0;1;0;0;0;1;0;0;0;1;138512.97750889193;183598.19880579744;181432.63722009532;0;1;0;0;175138.4377795531;172471.3953624421;179665.54249127797;150877.3181622853;151488.77858123145;1;0;102779.89767155334;180646.83994817061;1;115855.02537529482;174088.10757436766;176740.17920548996
19;20;5;5;0.0;646.0;0.0;468.0;1114.0;0;0;1114;1.0;0.0;1;1;3;2.0;0;102;0;0;0;0;0;4;4;3;2;3;3;3;3;1;6;1;5;5.0;4;7.0;0;1;3;3;2;159000.0;0;0;1;0;0;0;1;0;0;0;1;183188.04322660243;137235.18808557728;179691.6416714695;0;0;0;0;175700.39702797454;172211.0457734603;181017.58700697345;212817.23232622034;215610.58701466076;1;0;227467.15459569063;180429.6577227571;1;133315.4064725421;171762.47328962974;174023.53606358686
20;20;5;6;0.0;504.0;0.0;525.0;1029.0;0;0;1339;0.0;0.0;1;0;3;1.0;0;0;0;0;0;0;0;51;44;3;2;3;3;3;3;1;2;1;3;5.0;3;6.0;0;1;3;3;2;139000.0;0;0;1;0;0;0;1;0;0;0;1;146223.99166299184;185359.51634144926;180636.1725814408;0;0;0;0;176933.49582037254;218015.17335022992;179666.598425869;192096.4020490065;167734.34788333406;1;0;148283.67710611766;182650.73980530366;1;194932.9077684923;150230.31665435413;149154.36913159848
21;60;8;5;380.0;0.0;0.0;1158.0;1158.0;1218;0;2376;0.0;0.0;3;1;4;3.0;240;154;0;0;0;0;0;1;0;2;2;4;3;5;3;3;1;1;5;5.0;4;7.0;4;2;3;3;2;325300.0;0;0;1;0;0;0;1;0;0;0;0;317196.96055990155;184007.57329494937;182807.51078399213;0;0;0;0;211944.22582238063;169774.80089950326;181877.4864830385;211985.41653171103;212735.3789350208;1;0;224688.26231297897;183529.52727434196;1;251919.99638089945;273390.4943488699;272280.6956639458
22;45;7;7;0.0;0.0;0.0;637.0;637.0;0;0;1108;0.0;0.0;1;0;3;1.0;0;0;205;0;0;0;0;77;57;3;2;3;3;3;3;1;1;1;5;3.0;4;7.0;4;1;3;3;0;139400.0;0;0;0;1;0;0;0;0;0;0;1;98785.74741929761;185506.71548969217;181610.2186771212;0;0;0;0;106745.19628351873;171516.55871384635;179695.8603481545;151326.08077088813;149125.1966388001;1;0;223689.314731944;183445.1684754079;1;195887.28159062887;171977.04773471586;173326.9123084299
23;20;8;5;281.0;0.0;0.0;1777.0;1777.0;0;0;1795;0.0;0.0;2;0;3;2.0;171;159;0;0;0;0;0;6;6;3;2;4;3;4;3;1;1;1;5;5.0;4;7.0;4;2;3;3;2;230000.0;0;0;1;0;0;0;1;0;0;0;1;197978.4098207614;184635.1166417272;179801.50748389156;0;0;0;0;174587.56682375152;218874.90744248786;178571.26231145798;212593.01875935437;216091.9219804967;1;0;223003.82960583025;179882.11694123616;1;193380.89302716128;174254.88677548242;175220.491425261
24;120;5;7;0.0;840.0;0.0;200.0;1040.0;0;0;1060;1.0;0.0;1;0;3;2.0;100;110;0;0;0;0;0;31;31;3;2;3;3;4;3;1;6;1;3;5.0;3;7.0;3;1;3;3;2;129900.0;0;0;0;1;0;0;1;0;0;0;1;97530.95516343093;184710.08896805756;182762.6006725641;0;0;0;1;178006.25792023345;172284.45723559373;179033.28866580979;234251.00570935366;230348.45509371415;1;0;227727.80790504089;180451.66412506884;1;193316.73763977955;173171.75578487816;174310.50096894352
25;20;5;8;0.0;188.0;668.0;204.0;1060.0;0;0;1060;1.0;0.0;1;0;3;1.0;406;90;0;0;0;0;0;42;9;2;2;3;4;3;3;2;3;5;5;5.0;4;7.0;3;1;3;3;2;154000.0;0;0;1;0;0;0;1;0;0;0;1;138633.40113812248;182288.2346648724;179852.861277478;0;0;0;0;174917.45091933524;171834.5487038531;180141.65077936332;178051.0136185659;170330.97481308307;1;0;151097.3758587426;180641.9756751173;1;193712.70323435368;173122.80654371748;175583.28754910326
26;20;8;5;640.0;0.0;0.0;1566.0;1566.0;0;0;1600;0.0;0.0;2;0;3;3.0;0;56;0;0;0;0;0;2;2;3;2;4;3;4;3;1;1;1;5;5.0;4;7.0;4;2;3;3;2;256300.0;0;0;1;0;0;0;1;0;0;0;0;311079.6982840601;185665.36818313083;180273.42020475055;0;0;0;0;177143.19861255452;172561.3122329901;181580.8860762477;212492.73192858652;216791.9709838001;0;1;223970.0125455569;184013.4977725122;1;194950.2405784896;173599.97403683147;174348.0498329532
27;20;5;7;0.0;234.0;486.0;180.0;900.0;0;0;900;0.0;1.0;1;0;3;2.0;222;32;0;0;0;0;0;59;10;3;2;3;3;3;3;2;4;3;3;5.0;4;7.0;0;1;3;3;2;134800.0;0;0;1;0;0;0;1;0;0;0;0;146338.12729096372;184854.54595526945;182061.19850879456;0;0;0;0;176149.41710279344;172344.9075921737;178994.2851920207;150345.3345858338;147126.67127776198;1;0;150840.7166093012;180578.9068343814;1;134781.06207416064;175023.88642401985;177026.45298816747
28;20;8;5;200.0;1218.0;0.0;486.0;1704.0;0;0;1704;1.0;0.0;2;0;3;3.0;0;50;0;0;0;0;0;3;2;3;2;4;3;5;3;1;6;1;5;5.0;4;7.0;4;2;3;3;2;306000.0;0;0;1;0;0;0;1;0;0;0;1;318396.8337300768;184854.55410389532;181382.45443488128;0;0;0;0;176281.8924734466;171371.71063502994;179750.1167002904;212071.83899286386;212670.6897631443;0;1;226884.82576318146;182981.24336620787;1;194290.11038852695;173916.16467362887;176175.14737490762
29;20;5;6;0.0;1277.0;0.0;207.0;1484.0;0;0;1600;1.0;0.0;1;0;2;1.0;288;258;0;0;0;0;0;49;9;2;2;3;3;3;3;4;4;1;3;5.0;3;7.0;4;2;3;3;2;207500.0;0;0;1;0;0;0;1;1;0;0;0;144176.42739292074;184262.37156098094;180722.98421836222;0;0;0;0;175306.64587035077;173555.37675875882;178555.42401216523;147095.522613572;149431.08092497414;1;0;150028.85658497264;183893.99208046478;1;193406.39052918012;174904.6933561442;175057.22505977823
30;30;4;6;0.0;0.0;0.0;520.0;520.0;0;0;520;0.0;0.0;1;0;1;1.0;49;0;87;0;0;0;0;81;58;2;2;3;3;3;3;1;1;1;2;5.0;2;7.0;0;1;2;3;2;68500.0;0;0;0;1;0;0;1;0;0;0;1;127181.02505303676;144642.56510049582;125194.3865811399;0;0;0;0;178640.1442048287;169914.76501862687;180505.3831358578;150110.21858550428;151783.08180250437;1;0;133968.3860749852;183075.42279160873;0;136192.36062180754;171682.22880922415;175053.3684561989
31;70;4;4;0.0;0.0;0.0;649.0;649.0;668;0;1317;0.0;0.0;1;0;3;1.0;0;54;172;0;0;0;0;88;58;3;2;3;2;3;3;1;1;1;3;5.0;3;7.0;0;1;3;2;0;40000.0;0;0;0;0;0;0;1;0;0;0;1;103741.11332859375;141787.72614288985;179320.27233660017;0;0;0;0;211795.42647918762;158529.07057411724;178615.596885577;201887.9927617979;202092.6262595907;1;0;134384.5052879061;182540.31198105327;0;136118.15714425722;173849.99433422825;175208.51268851326
32;20;5;6;0.0;0.0;0.0;1228.0;1228.0;0;0;1228;0.0;0.0;1;1;3;1.0;0;65;0;0;0;0;0;42;2;2;2;3;3;3;3;1;1;1;4;5.0;4;7.0;0;1;3;3;2;149350.0;0;0;1;0;0;0;1;1;0;0;0;137249.59433735424;184310.582542708;182509.73646831047;0;0;0;0;176431.36314211882;171049.44346595625;178141.33415556522;164167.59586759732;166686.34417528674;1;0;151852.79743187613;180195.699531065;1;195472.37206614224;174568.57645345497;175964.1730526306
33;20;8;5;0.0;0.0;0.0;1234.0;1234.0;0;0;1234;0.0;0.0;2;0;3;2.0;0;30;0;0;0;0;0;1;1;3;2;4;3;5;3;3;1;1;5;5.0;4;7.0;0;2;3;3;2;179900.0;0;0;1;0;0;0;1;0;0;0;0;200279.49650937377;184289.04913388946;180400.74307395896;0;0;0;0;176102.89962858678;171122.27317286993;180285.9230556863;212075.11659400832;213166.6832574881;1;0;225104.5912323653;179989.0456761217;1;191565.0639127566;172025.28203261463;172546.76853962784
34;20;5;5;0.0;1018.0;0.0;380.0;1398.0;0;0;1700;0.0;1.0;1;1;4;2.0;0;38;0;0;0;0;0;51;51;2;2;3;3;3;3;1;3;1;4;5.0;4;7.0;4;2;3;3;2;165500.0;0;0;1;0;0;0;1;0;0;0;1;146180.1214669515;185524.95398898766;182040.65383917966;0;0;0;0;176137.7915579202;216525.90858891033;181069.2070094372;197332.67738537627;202030.68866826073;1;0;149291.31913267003;182903.59245108388;1;194106.03161362436;172420.94003095903;174470.7669432355
35;120;9;5;246.0;1153.0;0.0;408.0;1561.0;0;0;1561;1.0;0.0;2;0;2;2.0;203;47;0;0;0;0;0;2;2;3;2;5;3;5;3;1;6;1;5;5.0;5;7.0;4;3;3;3;2;277500.0;0;0;1;0;0;0;1;0;0;0;1;318967.63770219404;184891.56664923189;180869.1015236056;0;0;0;1;177014.073086083;217819.53296243568;180457.36233282663;147553.05275616937;146718.75995373438;1;0;222795.53660374536;180326.94475413143;1;195183.0685422176;174254.77032629872;176094.0163149754
36;60;8;5;132.0;0.0;0.0;1117.0;1117.0;1320;0;2452;0.0;0.0;3;1;4;3.0;113;32;0;0;0;0;0;2;1;3;2;4;3;5;3;3;1;1;5;5.0;4;7.0;4;3;3;3;2;309000.0;0;0;1;0;0;0;1;0;0;0;1;316508.9282901213;183782.92242614608;181056.83167798462;0;0;0;0;210131.8919341764;171865.18647028322;177905.64062457514;213388.40829673407;216223.68138121167;0;1;226909.6231014001;181415.53933681978;1;258528.14315071015;172197.12097978315;174130.86800858995
37;20;5;5;0.0;0.0;0.0;1097.0;1097.0;0;0;1097;0.0;0.0;1;1;3;2.0;392;64;0;0;0;0;0;15;14;3;2;3;3;4;3;1;1;1;5;5.0;3;7.0;0;1;3;3;2;145000.0;0;0;1;0;0;0;1;0;0;0;0;199523.3598099991;185782.89401273857;180647.95267811746;0;0;0;0;173877.33802329277;171148.21580858133;180439.3600229771;214452.74967691326;215615.09406514137;1;0;224385.87196421;182283.70968882352;1;194977.13911282443;173644.2434793274;173436.32141039416
38;20;5;6;650.0;1213.0;0.0;84.0;1297.0;0;0;1297;0.0;1.0;1;0;3;2.0;0;0;0;0;0;0;0;55;19;3;2;3;3;3;3;1;3;1;4;5.0;3;7.0;3;3;3;3;2;153000.0;0;0;1;0;0;0;1;0;0;0;1;145836.99455182697;186504.31534297997;180162.7786968046;0;0;0;0;174551.23930422027;222291.06467907506;180687.88592079227;149319.93352717877;148459.9354840584;1;0;150621.1604473234;183162.56575486937;1;196511.26632172195;173719.69900873542;176827.3450082076
39;20;5;7;0.0;731.0;0.0;326.0;1057.0;0;0;1057;1.0;0.0;1;0;3;1.0;0;52;0;0;0;0;0;57;3;3;2;3;4;3;3;1;6;1;3;5.0;4;7.0;0;1;3;3;2;109000.0;0;0;1;0;0;0;1;0;0;0;1;148452.1927456624;184124.43570432745;180919.21140671923;0;0;0;0;174560.64071592147;172331.0097176776;181256.96863750202;214323.06837361376;215606.7705974485;1;0;147733.310441328;182909.50605186794;1;134049.34029914314;174130.0973786587;147927.10658957437
40;90;4;5;0.0;0.0;0.0;0.0;0.0;0;0;1152;0.0;0.0;2;0;2;0.0;0;0;0;0;0;0;0;53;53;3;2;3;3;0;0;0;0;0;3;2.0;2;7.0;0;0;0;0;0;82000.0;0;0;1;0;0;0;1;0;0;0;1;131537.05146555757;186700.02089644154;181003.49318353573;0;1;0;0;174704.99165661616;171591.22737235454;181813.2519682068;109730.26862902236;168001.14065446827;1;0;225471.60704567545;182232.07551399362;0;194614.36601417346;172775.03059972267;127167.67182279285
41;20;6;5;101.0;643.0;0.0;445.0;1088.0;0;0;1324;0.0;0.0;2;0;3;2.0;0;138;0;0;0;0;0;41;41;3;2;3;3;3;3;1;3;1;5;5.0;3;7.0;3;2;3;3;2;160000.0;0;0;1;0;0;0;1;0;0;0;1;145003.3052836698;185743.56650797528;180209.18965835834;0;0;0;0;173900.87244050173;170725.10289025854;181064.47981232344;150043.7900415601;152323.35762399438;1;0;148763.68797921858;180696.5243424576;1;193636.6951812285;174206.96150309528;146557.24691481638
42;20;5;6;0.0;967.0;0.0;383.0;1350.0;0;0;1328;0.0;1.0;1;1;2;1.0;0;104;0;0;0;0;0;48;48;3;2;3;4;3;3;4;4;1;4;5.0;3;7.0;4;2;3;3;1;170000.0;0;0;1;0;0;0;1;0;0;0;1;242269.93884990163;186018.39480443342;181665.62916155995;0;0;0;0;175597.10361828;171585.01079003766;181458.08114003262;215836.92042046817;213034.19879902597;1;0;150049.29073948867;184026.43662606858;1;194104.19653965443;175408.0342471302;176972.64319193404
43;85;5;7;0.0;747.0;93.0;0.0;840.0;0;0;884;1.0;0.0;1;0;2;2.0;240;0;0;0;0;0;0;24;24;2;2;3;3;4;3;3;5;2;4;5.0;4;7.0;0;2;3;4;2;144000.0;0;0;1;0;0;0;1;1;0;0;0;188229.5651927718;183795.47008983724;182610.95248381782;0;0;0;0;137659.9061786853;172193.8119851688;179292.31272838148;162330.71705055967;166057.76431038967;1;0;149936.16895384298;181969.25871458926;1;194229.2358767168;173235.06379184357;173400.16092364723
44;20;5;6;0.0;280.0;491.0;167.0;938.0;0;0;938;1.0;0.0;1;0;3;1.0;145;0;0;0;0;0;0;33;28;2;2;3;3;4;3;3;2;4;3;5.0;3;7.0;0;1;3;3;2;130250.0;0;0;1;0;0;0;1;1;0;0;0;196078.10749573482;184354.47343377428;180061.49372340922;0;0;0;0;178277.23204094992;221519.04818532025;181643.34254342527;212507.16752509924;213871.8256507144;1;0;150214.3341413006;180564.7586410599;1;133653.86034839347;173127.12015254013;175307.2907638848
45;20;5;6;0.0;179.0;506.0;465.0;1150.0;0;0;1150;1.0;0.0;1;0;3;1.0;0;0;0;0;0;0;0;47;47;3;2;3;3;3;3;1;5;4;5;4.0;3;7.0;0;2;3;3;2;141000.0;0;0;1;0;0;0;1;0;0;0;1;144342.43238046995;183043.0344497017;181778.16760952192;0;0;0;0;175491.02584160093;172225.95004329647;179431.37332727696;202893.98675596298;148133.96892569965;1;0;148367.87254219953;182972.88767412317;1;191820.8089880659;170808.71725808483;175671.875328283
46;120;9;5;412.0;456.0;0.0;1296.0;1752.0;0;0;1752;1.0;0.0;2;0;2;2.0;196;82;0;0;0;0;0;5;5;3;2;5;3;5;3;1;6;1;5;5.0;5;7.0;4;2;3;3;2;319900.0;0;0;1;0;0;0;1;0;0;0;1;321854.42952028895;182214.2704637985;181015.4245636335;0;0;0;1;174228.09460686802;218528.3007980768;180468.8080933628;149388.95387192062;150951.0118761406;1;0;225177.8751487147;180785.28938810522;1;193846.64043708;171690.15349717168;173250.02252117806
47;50;7;5;0.0;1351.0;0.0;83.0;1434.0;631;0;2149;1.0;0.0;1;1;1;2.0;168;43;0;0;198;0;0;6;6;2;2;4;3;5;3;1;6;1;5;5.0;4;7.0;5;2;3;3;2;239686.0;0;0;1;0;0;0;1;1;0;0;0;152967.59710871705;186244.6529979573;179869.20925904097;0;0;0;0;143840.24044177402;172617.7540953261;180212.74605963207;212887.35795521477;215100.6904332309;1;0;224806.1210908533;181361.22665922786;1;194418.03364634124;173684.17728102082;149658.34289464977
48;20;8;5;0.0;24.0;0.0;1632.0;1656.0;0;0;1656;0.0;0.0;2;0;3;3.0;0;146;0;0;0;0;0;1;1;3;2;4;3;4;3;3;6;1;5;5.0;4;7.0;0;2;3;3;2;249700.0;1;0;0;0;0;0;1;0;0;0;1;229888.41449181395;182532.84426242282;182403.2276336942;0;0;0;0;175438.71772695513;172011.48373313202;180402.62456362843;213162.81461475685;213487.86647468517;1;0;225042.90236572837;183240.0805530845;1;193813.26238516008;172045.26437859316;173910.086819745
49;190;4;5;0.0;0.0;0.0;736.0;736.0;716;0;1452;0.0;0.0;2;0;2;0.0;0;0;102;0;0;0;0;89;1;3;2;3;3;3;3;1;1;1;4;5.0;3;7.0;0;0;0;0;0;113000.0;0;0;0;1;0;0;1;0;0;0;1;129576.20391287412;185550.237027109;181788.1775252953;1;0;0;0;211735.77142989702;172381.3571418768;180656.94197129036;147557.0782371627;147410.7670092769;1;0;133176.50560708565;181831.10875748942;1;195821.4149388608;268979.41024090897;270295.39640633896
